,Unnamed: 0,Unnamed: 0.1,name,address,type,ranking,price,direccion,comunidad,street,street_2,coordinates
41,41,41,Kausa Madrid,"Calle Amor de Dios 9 Metro: Antón Martín, 28012 Madrid España",Peruana,#100 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Amor de Dios 9 Metro: Antón Martín , Madrid España,Calle Amor de Dios 9,"Calle Amor de Dios 9, Madrid España","(40.412753249999994, -3.6981219069711395)"
42,42,42,Abaceria Tapas Lambuzo Conchas,"Calle Conchas 9 esquina con Costanilla de los Angeles, 28013 Madrid España",Mediterránea,#332 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Conchas 9 esquina con Costanilla de los Angeles , Madrid España,Calle Conchas 9,"Calle Conchas 9, Madrid España","(40.4187933, -3.7081702)"
43,43,43,Aranda Madrid,"C/ LOPEZ DE ARANDA 46 Parque Quinta de los Molinos y Arturo Soria, 28027 Madrid España",Internacional,#814 de 10.409 restaurantes en Madrid,€€ - €€€,C/ LOPEZ DE ARANDA 46 Parque Quinta de los Molinos y Arturo Soria , Madrid España,Calle Lopez de Aranda 46,"Calle Lopez de Aranda 46, Madrid España","(40.4447897, -3.6328265)"
44,44,44,Bodega de la Ardosa,"Calle Colon 13, 28004 Madrid España",Bar,#889 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Colon 13 , Madrid España,Calle Colon 13,"Calle Colon 13, Madrid España","(40.348544, -4.0270574)"
45,45,45,Restaurante La Primera,"Calle Gran Via 1, 28013 Madrid España",Española,#517 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Gran Via 1 , Madrid España,Calle Gran Via 1,"Calle Gran Via 1, Madrid España","(40.4424218, -3.361057)"
46,46,46,Meson Restaurante La Mi Venta,"Plaza Marina Española, 7, 28013 Madrid España",Mediterránea,#55 de 10.414 restaurantes en Madrid,€€ - €€€,Plaza Marina Española 7 , Madrid España,Plaza Marina Española 7,"Plaza Marina Española 7, Madrid España","Plaza Marina Española 7, Madrid España"
47,47,47,La Cabaña Argentina,"Calle Ventura de la Vega 10, 28014 Madrid España",Restaurante de carne,#96 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Ventura de la Vega 10 , Madrid España,Calle Ventura de la Vega 10,"Calle Ventura de la Vega 10, Madrid España","Calle Ventura de la Vega 10, Madrid España"
48,48,48,Casa Lolea Madrid,"Calle de la Libertad 26, 28004 Madrid España",Internacional,#103 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de la Libertad 26 , Madrid España,Calle de la Libertad 26,"Calle de la Libertad 26, Madrid España","(40.4220072, -3.697213)"
49,49,49,Steakburger Fuencarral,"Calle Fuencarral 73, 28010 Madrid España",Americana,#91 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Fuencarral 73 , Madrid España,Calle Fuencarral 73,"Calle Fuencarral 73, Madrid España","(40.42487, -3.7008499)"
50,50,50,Cannibal Raw Bar Madrid,"Calle Almirante 12 Esquina Conde de Xiquena, 28004 Madrid España",Mediterránea,#845 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Almirante 12 Esquina Conde de Xiquena , Madrid España,Calle Almirante 12,"Calle Almirante 12, Madrid España","(40.4224409, -3.6942202)"
51,51,51,Le Comptoir de la Crepe,"Calle Huertas 68, 28014 Madrid España",Francesa,#327 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Huertas 68 , Madrid España,Calle Huertas 68,"Calle Huertas 68, Madrid España","(40.9189302, -3.8426781)"
52,52,52,Inclán Brutal Bar,"Calle de Álvarez Gato, 4, 28012 Madrid España",Bar,#56 de 10.414 restaurantes en Madrid,€€ - €€€,Calle de Álvarez Gato 4 , Madrid España,Calle de Álvarez Gato 4,"Calle de Álvarez Gato 4, Madrid España","(40.4150858, -3.7018637)"
53,53,53,La Bien Aparecida,"Calle Jorge Juan 8, 28001 Madrid España",Mediterránea,#527 de 10.409 restaurantes en Madrid,€€€€,Calle Jorge Juan 8 , Madrid España,Calle Jorge Juan 8,"Calle Jorge Juan 8, Madrid España","(40.4897942, -4.0249382)"
54,54,54,Tapa Tapa Arenal,"Calle del Arenal 15, 28013 Madrid España",Española,#422 de 10.409 restaurantes en Madrid,€€ - €€€,Calle del Arenal 15 , Madrid España,Calle del Arenal 15,"Calle del Arenal 15, Madrid España","(40.4292084, -3.7846342)"
55,55,55,The Market Madrid,"C/Príncipe de Vergara 202, 28002 Madrid España",Internacional,#102 de 10.414 restaurantes en Madrid,€€ - €€€,C/Príncipe de Vergara 202 , Madrid España,C/Príncipe de Vergara 202,"CallePríncipe de Vergara 202, Madrid España","CallePríncipe de Vergara 202, Madrid España"
56,56,56,Restaurante Algarabía,"Calle de la Union 8 Cerca Del Metro De Ópera, 28013 Madrid España",Mediterránea,#31 de 10.414 restaurantes en Madrid,€€ - €€€,Calle de la Union 8 Cerca Del Metro De Ópera , Madrid España,Calle de la Union 8,"Calle de la Union 8, Madrid España","(40.4175759, -3.7104277)"
57,57,57,Kuoco 360 Food,"Calle San Bartolmé, 14, 28004 Madrid España",Fusión,#116 de 10.414 restaurantes en Madrid,€€ - €€€,Calle San Bartolmé 14 , Madrid España,Calle San Bartolmé 14,"Calle San Bartolmé 14, Madrid España","Calle San Bartolmé 14, Madrid España"
58,58,58,Foodtruck,"Calle San Lucas 11, 28004 Madrid España",Americana,#413 de 10.414 restaurantes en Madrid,€€ - €€€,Calle San Lucas 11 , Madrid España,Calle San Lucas 11,"Calle San Lucas 11, Madrid España","(40.3437101, -3.8242024)"
59,59,59,Burnout,"Calle Valverde 6, 28004 Madrid España",Americana,#107 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Valverde 6 , Madrid España,Calle Valverde 6,"Calle Valverde 6, Madrid España","(40.4319648, -3.3008384)"
60,60,60,Entre Santos Madrid,"Calle San Bartolomè 4, 28004 Madrid España",Mediterránea,#9 de 10.414 restaurantes en Madrid,€€ - €€€,Calle San Bartolomè 4 , Madrid España,Calle San Bartolomè 4,"Calle San Bartolomè 4, Madrid España","(40.7345756, -3.9449715)"
61,61,61,Posada de la Villa,"Calle Cava Baja, 9, 28005 Madrid España",Mediterránea,#410 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Cava Baja 9 , Madrid España,Calle Cava Baja 9,"Calle Cava Baja 9, Madrid España","Calle Cava Baja 9, Madrid España"
62,62,62,Restaurante Nuevo Horno de Santa Teresa,"Calle Santa Teresa 8, 28004 Madrid España",Mediterránea,#53 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Santa Teresa 8 , Madrid España,Calle Santa Teresa 8,"Calle Santa Teresa 8, Madrid España","(40.2078476, -3.5698951)"
63,63,63,El Cogollo de la Descarga,"Calle Hileras 6, 28013 Madrid España",Mediterránea,#293 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Hileras 6 , Madrid España,Calle Hileras 6,"Calle Hileras 6, Madrid España","(40.4170061, -3.7081921)"
64,64,64,Honest Greens Castellana,"Paseo Castellana 89 enfrente de Torre Picasso, 28046 Madrid España",Tentempiés,N.º 15 de 125 bares de comida rápida en Madrid,€€ - €€€,Paseo Castellana 89 enfrente de Torre Picasso , Madrid España,Paseo Castellana 89,"Paseo Castellana 89, Madrid España","(40.4501693, -3.6918735)"
65,65,65,Chocolat,"Santa Maria,30 Paralela a Calle Huertas, 28014 Madrid España",Mediterránea,#412 de 10.414 restaurantes en Madrid,€,Santa Maria30 Paralela a Calle Huertas , Madrid España,Calle Santa Maria 30,"Calle Santa Maria 30, Madrid España","(40.5957347, -4.1415476)"
66,66,66,Guasa Madrid,"Calle de San Lorenzo 9, 28004 Madrid España",Americana,#1.666 de 10.414 restaurantes en Madrid,€€ - €€€,Calle de San Lorenzo 9 , Madrid España,Calle de San Lorenzo 9,"Calle de San Lorenzo 9, Madrid España","(40.4251672, -3.6989903)"
67,67,67,La Bola,"Calle Bola 5, 28013 Madrid España",Europea,#1.897 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Bola 5 , Madrid España,Calle Bola 5,"Calle Bola 5, Madrid España","(40.4199972, -3.7105112)"
68,68,68,La Caleta Taberna Gaditana,"Calle del Tres Peces 21 Santa Isabel 38, 28012 Madrid España",Mediterránea,#1.525 de 10.414 restaurantes en Madrid,€€ - €€€,Calle del Tres Peces 21 Santa Isabel 38 , Madrid España,Calle del Tres Peces 21 Santa Isabel 38,"Calle del Tres Peces 21 Santa Isabel 38, Madrid España","Calle del Tres Peces 21 Santa Isabel 38, Madrid España"
69,69,69,Borax,"Calle Pelayo 28, 28004 Madrid España",Caribeña,#43 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Pelayo 28 , Madrid España,Calle Pelayo 28,"Calle Pelayo 28, Madrid España","(40.4228903, -3.6983589)"
70,70,70,Restaurante Lakasa,"Plaza del Descubridor Diego de Ordas (Santa Ingracia, 120), 28003 Madrid España",Mediterránea,#342 de 10.414 restaurantes en Madrid,€€ - €€€,Plaza del Descubridor Diego de Ordas (Santa Ingracia 120) , Madrid España,Plaza del Descubridor Diego de Ordas (Santa Ingracia 120,"Plaza del Descubridor Diego de Ordas (Santa Ingracia 120, Madrid España","Plaza del Descubridor Diego de Ordas (Santa Ingracia 120, Madrid España"
71,71,71,Restaurante Marina Ventura,"Calle Ventura de la Vega, 13, 28014 Madrid España",Marisco,#164 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Ventura de la Vega 13 , Madrid España,Calle Ventura de la Vega 13,"Calle Ventura de la Vega 13, Madrid España","Calle Ventura de la Vega 13, Madrid España"
72,72,72,Lubora Madrid Bistro,"C. Mariano Barbacid 12 Boadilla del Monte, 28660 Madrid España",Mediterránea,#278 de 10.414 restaurantes en Madrid,€€ - €€€,C. Mariano Barbacid 12 Boadilla del Monte , Madrid España,Calle Mariano Barbacid 12,"Calle Mariano Barbacid 12, Madrid España","(40.4162333, -3.8972086)"
73,73,73,Tampu,"Calle de Prim, 13, 28004 Madrid España",Peruana,#145 de 10.414 restaurantes en Madrid,€€ - €€€,Calle de Prim 13 , Madrid España,Calle de Prim 13,"Calle de Prim 13, Madrid España","(40.4219515, -3.6935347)"
74,74,74,Docamar,"c/ Alcalá 337, 28027 Madrid España",Bar,#924 de 10.414 restaurantes en Madrid,€,c/ Alcalá 337 , Madrid España,c/ Alcalá 337,"CalleAlcalá 337, Madrid España","CalleAlcalá 337, Madrid España"
75,75,75,Cebo,"Carrera de San Jeronimo, 34, 28014 Madrid España",Mediterránea,#61 de 10.409 restaurantes en Madrid,€€€€,Carrera de San Jeronimo 34 , Madrid España,Carrera de San Jeronimo 34,"Carrera de San Jeronimo 34, Madrid España","(40.4164051, -3.6985954)"
76,76,76,Taberna Más Al Sur,"Calle Santa Isabel Nº 35, 28012 Madrid España",Mediterránea,#34 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Santa Isabel Nº 35 , Madrid España,Calle Santa Isabel 35,"Calle Santa Isabel 35, Madrid España","(40.0316837, -3.5908706)"
77,77,77,La Mallorquina,"Calle Mayor 2, 28013 Madrid España",Confiterías/panaderías,N.º 28 de 477 cafeterías y teterías en Madrid,€,Calle Mayor 2 , Madrid España,Calle Mayor 2,"Calle Mayor 2, Madrid España","(40.4166158, -3.704829)"
78,78,78,Steakburger Arenal,"Calle del Arenal 26, 28013 Madrid España",Americana,#21 de 10.409 restaurantes en Madrid,€€ - €€€,Calle del Arenal 26 , Madrid España,Calle del Arenal 26,"Calle del Arenal 26, Madrid España","(40.4292084, -3.7846342)"
79,79,79,Pez Tortilla,"Calle del Pez, 36, 28004 Madrid España",Pub con cerveza artesanal,#507 de 10.414 restaurantes en Madrid,€,Calle del Pez 36 , Madrid España,Calle del Pez 36,"Calle del Pez 36, Madrid España","(40.4243287, -3.7065782)"
80,80,80,Mercado de la Reina,"Calle Gran Via 12., 28013 Madrid España",Bar,#496 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Gran Via 12. , Madrid España,Calle Gran Via 12,"Calle Gran Via 12, Madrid España","(40.4424218, -3.361057)"
81,81,81,El jardin secreto,"Calle Conde Duque 2, 28015 Madrid España",Postres,N.º 41 de 319 postres en Madrid,€€ - €€€,Calle Conde Duque 2 , Madrid España,Calle Conde Duque 2,"Calle Conde Duque 2, Madrid España","Calle Conde Duque 2, Madrid España"
82,82,82,Purnima Indian Restaurant,"Calle Goya 110, 28009 Madrid España",India,#110 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Goya 110 , Madrid España,Calle Goya 110,"Calle Goya 110, Madrid España","(40.5893669, -4.2657008)"
83,83,83,Cacao Restobar,"Calle de Moratin 19 Esquina Calle San Jose, 28014 Madrid España",Latina,#114 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Moratin 19 Esquina Calle San Jose , Madrid España,Calle de Moratin 19,"Calle de Moratin 19, Madrid España","(40.41243465, -3.6970394147203516)"
84,84,84,Picsa Madrid,"Calle Ponzano, 76, 28003 Madrid España",Italiana,#736 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Ponzano 76 , Madrid España,Calle Ponzano 76,"Calle Ponzano 76, Madrid España","(40.4422874, -3.6990159)"
85,85,85,Ginkgo Restaurante & Sky Bar,"Plaza de Espana 3, 28008 Madrid España",Española,#1.557 de 10.409 restaurantes en Madrid,€€€€,Plaza de Espana 3 , Madrid España,Plaza de Espana 3,"Plaza de Espana 3, Madrid España","(40.28215425, -3.791757771626984)"
86,86,86,LUX Madrid,"Calle de Jorge Juan 22, 28001 Madrid España",Mediterránea,#1.451 de 10.414 restaurantes en Madrid,€€€€,Calle de Jorge Juan 22 , Madrid España,Calle de Jorge Juan 22,"Calle de Jorge Juan 22, Madrid España","(40.4236876, -3.6848461)"
87,87,87,Miyama,"Paseo de La Castellana, 45, 28046 Madrid España",Japonesa,#223 de 10.414 restaurantes en Madrid,€€€€,Paseo de La Castellana 45 , Madrid España,Paseo de La Castellana 45,"Paseo de La Castellana 45, Madrid España","(40.4356582, -3.6896292)"
88,88,88,JARDÍN SALVADOR BACHILLER,"Calle Montera 37, 28013 Madrid España",Café,#2.575 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Montera 37 , Madrid España,Calle Montera 37,"Calle Montera 37, Madrid España","(40.419054, -3.7022209)"
89,89,89,Azotea del Círculo,"Calle Marqués de Casa Riera, 2 Azotea, 28014 Madrid España",Mediterránea,#1.129 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Marqués de Casa Riera 2 Azotea , Madrid España,Calle Marqués de Casa Riera 2,"Calle Marqués de Casa Riera 2, Madrid España","(40.4181727, -3.6963263)"
90,90,90,Oven Mozzarella Gran Vía 55,"C / Gran Vía, 55 Oven, Steakburger y Roastery, 28013 Madrid España",Italiana,#24 de 10.414 restaurantes en Madrid,€€ - €€€,C / Gran Vía 55 Oven Steakburger y Roastery , Madrid España,C / Gran Vía 55,"Calle Gran Vía 55, Madrid España","(40.4424218, -3.361057)"
91,91,91,Malacatin,"Calle Ruda 5 next to Plaza de Cascorro, 28005 Madrid España",Mediterránea,#556 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Ruda 5 next to Plaza de Cascorro , Madrid España,Calle Ruda 5,"Calle Ruda 5, Madrid España","(40.3585687, -3.9032317)"
92,92,92,Azotea Forus Barceló,"Calle Barcelo, 6, 28004 Madrid España",Internacional,#123 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Barcelo 6 , Madrid España,Calle Barcelo 6,"Calle Barcelo 6, Madrid España","(40.426544899999996, -3.698786316244)"
93,93,93,Ojala,"Calle San Andres 1, 28004 Madrid España",Bar,#903 de 10.414 restaurantes en Madrid,€€ - €€€,Calle San Andres 1 , Madrid España,Calle San Andres 1,"Calle San Andres 1, Madrid España","(40.7616096, -3.7892266)"
94,94,94,Macarena Madrid,"C/Rodio 6, 28045 Madrid España",Internacional,#2.223 de 10.409 restaurantes en Madrid,€€ - €€€,C/Rodio 6 , Madrid España,C/Rodio 6,"CalleRodio 6, Madrid España","CalleRodio 6, Madrid España"
95,95,95,Casa Labra,"Calle Tetuan 12, 28013 Madrid España",Bar,#650 de 10.414 restaurantes en Madrid,€,Calle Tetuan 12 , Madrid España,Calle Tetuan 12,"Calle Tetuan 12, Madrid España","(40.0395885, -3.6142713)"
96,96,96,Kabuki,"Avenida Presidente Carmona 2, 28020 Madrid España",Japonesa,#392 de 10.409 restaurantes en Madrid,€€€€,Avenida Presidente Carmona 2 , Madrid España,Avenida Presidente Carmona 2,"Avenida Presidente Carmona 2, Madrid España","(40.4547033, -3.6970906)"
97,97,97,Trattoria Malatesta,"Calle Coloreros 5, 28013 Madrid España",Italiana,#221 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Coloreros 5 , Madrid España,Calle Coloreros 5,"Calle Coloreros 5, Madrid España","(40.416551, -3.707066)"
98,98,98,New York Burger General Yagüe,"Calle General Yague 5, 28020 Madrid España",Americana,#427 de 10.414 restaurantes en Madrid,€€ - €€€,Calle General Yague 5 , Madrid España,Calle General Yague 5,"Calle General Yague 5, Madrid España","(40.336208, -4.1296832)"
99,99,99,Santita Fuencarral,"Calle Fuencarral 74 esquina calle Benficiencia, 28004 Madrid España",Mexicana,#71 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Fuencarral 74 esquina calle Benficiencia , Madrid España,Calle Fuencarral 74,"Calle Fuencarral 74, Madrid España","(40.4253241, -3.7007863)"
100,100,100,Taberna Alhambra,"Calle Victoria 9, 28012 Madrid España",Café,#522 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Victoria 9 , Madrid España,Calle Victoria 9,"Calle Victoria 9, Madrid España","(40.4800661, -3.369931)"
101,101,101,Café de Oriente,"Plaza de Oriente 2, 28013 Madrid España",Café,#1.075 de 10.414 restaurantes en Madrid,€€ - €€€,Plaza de Oriente 2 , Madrid España,Plaza de Oriente 2,"Plaza de Oriente 2, Madrid España","(40.4177107, -3.711468)"
102,102,102,El Rincon de Esteban,"Calle Santa Catalina 3 Restaurante Rincon de Esteban, 28014 Madrid España",Internacional,#339 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Santa Catalina 3 Restaurante Rincon de Esteban , Madrid España,Calle Santa Catalina 3,"Calle Santa Catalina 3, Madrid España","Calle Santa Catalina 3, Madrid España"
103,103,103,Celicioso Hortaleza,"Calle Hortaleza, 3, 28004 Madrid España",Confiterías/panaderías,N.º 15 de 477 cafeterías y teterías en Madrid,€€ - €€€,Calle Hortaleza 3 , Madrid España,Calle Hortaleza 3,"Calle Hortaleza 3, Madrid España","(40.4172605, -3.1762323)"
104,104,104,Bosco de Lobos,"Calle Hortaleza 63, 28004 Madrid España",Italiana,#1.956 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Hortaleza 63 , Madrid España,Calle Hortaleza 63,"Calle Hortaleza 63, Madrid España","(40.4172605, -3.1762323)"
105,105,105,Bangalore Modern Indian Cuisine,"63 Calle Diego de Leon, 28006 Madrid España",India,#214 de 10.409 restaurantes en Madrid,€€ - €€€,63 Calle Diego de Leon , Madrid España,63,"63, Madrid España","(40.4577589, -3.572618)"
106,106,106,El Brillante,"Plaza Emperador Carlos V 8, 28012 Madrid España",Bar,#10.389 de 10.409 restaurantes en Madrid,€€ - €€€,Plaza Emperador Carlos V 8 , Madrid España,Plaza Emperador Carlos V 8,"Plaza Emperador Carlos V 8, Madrid España","Plaza Emperador Carlos V 8, Madrid España"
107,107,107,Superchulo,"Calle Manuela Malasaña, 28004 Madrid España",Mediterránea,#472 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Manuela Malasaña , Madrid España,Calle Manuela Malasaña ,"Calle Manuela Malasaña , Madrid España","(40.3217556, -3.7119874)"
108,108,108,1902 Churreria Chocolateria,"Calle San Martin 2 Semi-esquina con la calle Arenal, 18, 28013 Madrid España",Postres,N.º 8 de 477 cafeterías y teterías en Madrid,€€ - €€€,Calle San Martin 2 Semi-esquina con la calle Arenal 18 , Madrid España,Calle San Martin 2,"Calle San Martin 2, Madrid España","(40.493252, -3.8755121)"
109,109,109,Bel Mondo,"Calle de Velazquez 39, 28001 Madrid España",Italiana,#637 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Velazquez 39 , Madrid España,Calle de Velazquez 39,"Calle de Velazquez 39, Madrid España","(40.426088, -3.6842561)"
110,110,110,Yokaloka,"Calle de Santa Isabel, 5 Mercado de Antón Martín, 28012 Madrid España",Japonesa,#356 de 10.409 restaurantes en Madrid,€€ - €€€,Calle de Santa Isabel 5 Mercado de Antón Martín , Madrid España,Calle de Santa Isabel 5,"Calle de Santa Isabel 5, Madrid España","(40.4113646, -3.6987017)"
111,111,111,La Finca de Susana,"Calle Principe, 10 Calle del Principe, 10, 28012 Madrid España",Mediterránea,#1.685 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Principe 10 Calle del Principe 10 , Madrid España,Calle Principe 10,"Calle Principe 10, Madrid España","(40.5913955, -4.1492957)"
112,112,112,Pizzeria Vesuvio -Hortaleza,"Calle Hortaleza 4, 28004 Madrid España",Italiana,#297 de 10.409 restaurantes en Madrid,€,Calle Hortaleza 4 , Madrid España,Calle Hortaleza 4,"Calle Hortaleza 4, Madrid España","(40.4172605, -3.1762323)"
113,113,113,Lhardy,"Carrera San Jeronimo 8, 28014 Madrid España",Mediterránea,#1.421 de 10.414 restaurantes en Madrid,€€€€,Carrera San Jeronimo 8 , Madrid España,Carrera San Jeronimo 8,"Carrera San Jeronimo 8, Madrid España","(40.4166247, -3.7013768)"
114,114,114,El Club Allard,"Calle de Ferraz, 2, 28008 Madrid España",Internacional,#243 de 10.414 restaurantes en Madrid,€€€€,Calle de Ferraz 2 , Madrid España,Calle de Ferraz 2,"Calle de Ferraz 2, Madrid España","(40.42332035, -3.714202660967784)"
115,115,115,Cappuccino Madrid,"Plaza Independencia 5, 28001 Madrid España",Comida rápida,#2.205 de 10.409 restaurantes en Madrid,€€ - €€€,Plaza Independencia 5 , Madrid España,Plaza Independencia 5,"Plaza Independencia 5, Madrid España","Plaza Independencia 5, Madrid España"
116,116,116,Clos Madrid,"Calle de Raimundo Fernández Villaverde 28, 28003 Madrid España",Mediterránea,#314 de 10.414 restaurantes en Madrid,€€€€,Calle de Raimundo Fernández Villaverde 28 , Madrid España,Calle de Raimundo Fernández Villaverde 28,"Calle de Raimundo Fernández Villaverde 28, Madrid España","(40.44604875, -3.6995503594813393)"
117,117,117,Gourmet Experience Gran Vía,"Plaza Callao 2, 28013 Madrid España",Japonesa,#563 de 10.409 restaurantes en Madrid,€€ - €€€,Plaza Callao 2 , Madrid España,Plaza Callao 2,"Plaza Callao 2, Madrid España","(40.3190076, -3.868478433073239)"
118,118,118,Gustos Madrid Plaza Mayor,"Plaza Mayor 8, 28005 Madrid España",Mediterránea,#425 de 10.409 restaurantes en Madrid,€€ - €€€,Plaza Mayor 8 , Madrid España,Plaza Mayor 8,"Plaza Mayor 8, Madrid España","(40.4150007, -3.7078127)"
119,119,119,Doli Indian Restaurant,"Calle Diego de León, 13, 28006 Madrid España",India,#218 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Diego de León 13 , Madrid España,Calle Diego de León 13,"Calle Diego de León 13, Madrid España","(40.5471417, -3.6332563)"
120,120,120,Arahy,"Calle Alcala 58, 28014 Madrid España",Mediterránea,#276 de 10.414 restaurantes en Madrid,€€€€,Calle Alcala 58 , Madrid España,Calle Alcala 58,"Calle Alcala 58, Madrid España","(40.4206967, -3.6851451)"
121,121,121,Pampa Beef,"Calle Principe 3, 28014 Madrid España",Restaurante de carne,#40 de 10.409 restaurantes en Madrid,€,Calle Principe 3 , Madrid España,Calle Principe 3,"Calle Principe 3, Madrid España","(40.9209481, -3.6887962)"
122,122,122,New York Burger Castellana,"Paseo Castellana 89, 28046 Madrid España",Americana,#574 de 10.414 restaurantes en Madrid,€€ - €€€,Paseo Castellana 89 , Madrid España,Paseo Castellana 89,"Paseo Castellana 89, Madrid España","(40.4501693, -3.6918735)"
123,123,123,Charrúa Madrid,"Calle del Conde de Xiquena 4 Cruce con calle Almirante, 28004 Madrid España",Restaurante de carne,#691 de 10.409 restaurantes en Madrid,€€€€,Calle del Conde de Xiquena 4 Cruce con calle Almirante , Madrid España,Calle del Conde de Xiquena 4,"Calle del Conde de Xiquena 4, Madrid España","(40.422266, -3.694097)"
124,124,124,Ándele Ponzano,"Calle Raimundo Fernandez Villaverde 26, 28003 Madrid España",Mexicana,#84 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Raimundo Fernandez Villaverde 26 , Madrid España,Calle Raimundo Fernandez Villaverde 26,"Calle Raimundo Fernandez Villaverde 26, Madrid España","Calle Raimundo Fernandez Villaverde 26, Madrid España"
125,125,125,Goiko - María de Molina 20,"Maria de Molina, 20, 28006 Madrid España",Americana,#1.033 de 10.409 restaurantes en Madrid,€€ - €€€,Maria de Molina 20 , Madrid España,Maria de Molina 20,"Maria de Molina 20, Madrid España","Maria de Molina 20, Madrid España"
126,126,126,Beerhouse Madrid,"Calle del Cardenal Cisneros nr. 16, 28010 Madrid España",Pub con cerveza artesanal,#3.661 de 10.409 restaurantes en Madrid,€€ - €€€,Calle del Cardenal Cisneros nr. 16 , Madrid España,Calle del Cardenal Cisneros 16,"Calle del Cardenal Cisneros 16, Madrid España","(40.4305831, -3.7017164)"
127,127,127,La Ancha,"Calle Principe de Vergara 204, 28002 Madrid España",Mediterránea,#398 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Principe de Vergara 204 , Madrid España,Calle Principe de Vergara 204,"Calle Principe de Vergara 204, Madrid España","Calle Principe de Vergara 204, Madrid España"
128,128,128,Diurno Restaurante & Bar,"C/ San Marcos, 37 28004 Madrid- Chueca, 28004 Madrid España",Internacional,#524 de 10.409 restaurantes en Madrid,€€ - €€€,C/ San Marcos 37 , Madrid España,C/ San Marcos 37,"CalleSan Marcos 37, Madrid España","CalleSan Marcos 37, Madrid España"
129,129,129,Paco Roncero Restaurante,"Calle Alcala 15, 28014 Madrid España",Mediterránea,#266 de 10.409 restaurantes en Madrid,€€€€,Calle Alcala 15 , Madrid España,Calle Alcala 15,"Calle Alcala 15, Madrid España","(40.4206967, -3.6851451)"
130,130,130,O'Pazo,"Calle Reina Mercedes 20, 28020 Madrid España",Marisco,#429 de 10.414 restaurantes en Madrid,€€€€,Calle Reina Mercedes 20 , Madrid España,Calle Reina Mercedes 20,"Calle Reina Mercedes 20, Madrid España","(40.436316, -3.8122696)"
131,131,131,Salmon Guru,"Calle Echegaray No 21, 28014 Madrid España",Bar,#106 de 10.409 restaurantes en Madrid,€€ - €€€,Calle Echegaray No 21 , Madrid España,Calle Echegaray 21,"Calle Echegaray 21, Madrid España","(40.4266897, -3.5638453)"
132,132,132,Numa Pompilio Restaurante,"Calle Velazquez 18, 28001 Madrid España",Italiana,#2.812 de 10.409 restaurantes en Madrid,€€€€,Calle Velazquez 18 , Madrid España,Calle Velazquez 18,"Calle Velazquez 18, Madrid España","(40.4888411, -3.3620986)"
133,133,133,Restaurante Volvoreta,"Paseo de la Castellana 259-B Eurostars Madrid Tower Hotel, 28029 Madrid España",Mediterránea,#436 de 10.409 restaurantes en Madrid,€€€€,Paseo de la Castellana 259-B Eurostars Madrid Tower Hotel , Madrid España,Paseo de la Castellana 259,"Paseo de la Castellana 259, Madrid España","(40.475716399999996, -3.6877509967607436)"
134,134,134,Parrilla El Gaucho,"Calle Tetuan 34, 28013 Madrid España",Restaurante de carne,#311 de 10.414 restaurantes en Madrid,€€ - €€€,Calle Tetuan 34 , Madrid España,Calle Tetuan 34,"Calle Tetuan 34, Madrid España","(40.0395885, -3.6142713)"
