,name,address,type,ranking,price
0,Taberna Alhambra,"Calle Victoria 9, 28012 Madrid España",Café,#522 de 10.409 restaurantes en Madrid,€€ - €€€
1,Café de Oriente,"Plaza de Oriente 2, 28013 Madrid España",Café,#1.075 de 10.409 restaurantes en Madrid,€€ - €€€
2,El Rincon de Esteban,"Calle Santa Catalina 3 Restaurante Rincon de Esteban, 28014 Madrid España",Internacional,#339 de 10.409 restaurantes en Madrid,€€ - €€€
3,Celicioso Hortaleza,"Calle Hortaleza, 3, 28004 Madrid España",Confiterías/panaderías,N.º 15 de 477 cafeterías y teterías en Madrid,€€ - €€€
4,Bosco de Lobos,"Calle Hortaleza 63, 28004 Madrid España",Italiana,#1.956 de 10.409 restaurantes en Madrid,€€ - €€€
5,Bangalore Modern Indian Cuisine,"63 Calle Diego de Leon, 28006 Madrid España",India,#214 de 10.409 restaurantes en Madrid,€€ - €€€
6,El Brillante,"Plaza Emperador Carlos V 8, 28012 Madrid España",Bar,#10.389 de 10.409 restaurantes en Madrid,€€ - €€€
7,Superchulo,"Calle Manuela Malasaña, 28004 Madrid España",Mediterránea,#472 de 10.409 restaurantes en Madrid,€€ - €€€
8,1902 Churreria Chocolateria,"Calle San Martin 2 Semi-esquina con la calle Arenal, 18, 28013 Madrid España",Postres,N.º 8 de 477 cafeterías y teterías en Madrid,€€ - €€€
9,Bel Mondo,"Calle de Velazquez 39, 28001 Madrid España",Italiana,#637 de 10.409 restaurantes en Madrid,€€ - €€€
10,Yokaloka,"Calle de Santa Isabel, 5 Mercado de Antón Martín, 28012 Madrid España",Japonesa,#356 de 10.409 restaurantes en Madrid,€€ - €€€
11,La Finca de Susana,"Calle Principe, 10 Calle del Principe, 10, 28012 Madrid España",Mediterránea,#1.685 de 10.409 restaurantes en Madrid,€€ - €€€
12,Pizzeria Vesuvio -Hortaleza,"Calle Hortaleza 4, 28004 Madrid España",Italiana,#297 de 10.409 restaurantes en Madrid,€
13,Lhardy,"Carrera San Jeronimo 8, 28014 Madrid España",Mediterránea,#1.421 de 10.409 restaurantes en Madrid,€€€€
14,El Club Allard,"Calle de Ferraz, 2, 28008 Madrid España",Internacional,#243 de 10.409 restaurantes en Madrid,€€€€
15,Cappuccino Madrid,"Plaza Independencia 5, 28001 Madrid España",Comida rápida,#2.205 de 10.409 restaurantes en Madrid,€€ - €€€
16,Clos Madrid,"Calle de Raimundo Fernández Villaverde 28, 28003 Madrid España",Mediterránea,#314 de 10.409 restaurantes en Madrid,€€€€
17,Gourmet Experience Gran Vía,"Plaza Callao 2, 28013 Madrid España",Japonesa,#563 de 10.409 restaurantes en Madrid,€€ - €€€
18,Gustos Madrid Plaza Mayor,"Plaza Mayor 8, 28005 Madrid España",Mediterránea,#425 de 10.409 restaurantes en Madrid,€€ - €€€
19,Doli Indian Restaurant,"Calle Diego de León, 13, 28006 Madrid España",India,#218 de 10.409 restaurantes en Madrid,€€ - €€€
20,Arahy,"Calle Alcala 58, 28014 Madrid España",Mediterránea,#276 de 10.409 restaurantes en Madrid,€€€€
21,Pampa Beef,"Calle Principe 3, 28014 Madrid España",Restaurante de carne,#40 de 10.409 restaurantes en Madrid,€
22,New York Burger Castellana,"Paseo Castellana 89, 28046 Madrid España",Americana,#574 de 10.409 restaurantes en Madrid,€€ - €€€
23,Charrúa Madrid,"Calle del Conde de Xiquena 4 Cruce con calle Almirante, 28004 Madrid España",Restaurante de carne,#691 de 10.409 restaurantes en Madrid,€€€€
24,Ándele Ponzano,"Calle Raimundo Fernandez Villaverde 26, 28003 Madrid España",Mexicana,#84 de 10.409 restaurantes en Madrid,€€ - €€€
25,Goiko - María de Molina 20,"Maria de Molina, 20, 28006 Madrid España",Americana,#1.033 de 10.409 restaurantes en Madrid,€€ - €€€
26,Beerhouse Madrid,"Calle del Cardenal Cisneros nr. 16, 28010 Madrid España",Pub con cerveza artesanal,#3.661 de 10.409 restaurantes en Madrid,€€ - €€€
27,La Ancha,"Calle Principe de Vergara 204, 28002 Madrid España",Mediterránea,#398 de 10.409 restaurantes en Madrid,€€ - €€€
28,Diurno Restaurante & Bar,"C/ San Marcos, 37 28004 Madrid- Chueca, 28004 Madrid España",Internacional,#524 de 10.409 restaurantes en Madrid,€€ - €€€
29,Paco Roncero Restaurante,"Calle Alcala 15, 28014 Madrid España",Mediterránea,#266 de 10.409 restaurantes en Madrid,€€€€
30,O'Pazo,"Calle Reina Mercedes 20, 28020 Madrid España",Marisco,#429 de 10.409 restaurantes en Madrid,€€€€
31,Salmon Guru,"Calle Echegaray No 21, 28014 Madrid España",Bar,#106 de 10.409 restaurantes en Madrid,€€ - €€€
32,Numa Pompilio Restaurante,"Calle Velazquez 18, 28001 Madrid España",Italiana,#2.812 de 10.409 restaurantes en Madrid,€€€€
33,Restaurante Volvoreta,"Paseo de la Castellana 259-B Eurostars Madrid Tower Hotel, 28029 Madrid España",Mediterránea,#436 de 10.409 restaurantes en Madrid,€€€€
34,Parrilla El Gaucho,"Calle Tetuan 34, 28013 Madrid España",Restaurante de carne,#311 de 10.409 restaurantes en Madrid,€€ - €€€
35,Ogrelo,"Calle Menorca 39 Semiesquina Fernán Gonzalez, 28009 Madrid España",Marisco,#295 de 10.409 restaurantes en Madrid,€€€€
36,Casa Dani,"Calle Ayala 28, 28001 Madrid España",Café,#539 de 10.409 restaurantes en Madrid,€
