,name,address,type,ranking,price
0,Areia Chill Out,"Calle Hortaleza 92 Chueca, 28004 Madrid España",Bar,#879 de 10.409 restaurantes en Madrid,€€ - €€€
1,"GIOELIA Cremeria, Madrid Atocha","Giolatto c/ Atocha, 42, 28012 Madrid España",Postres,N.º 4 de 319 postres en Madrid,€
2,Fathe Pur,"Calle Ibiza 42, 28009 Madrid España",India,#417 de 10.409 restaurantes en Madrid,€€ - €€€
3,La Tahona,"Calle Del Capitan Haya, 21, 28020 Madrid España",Restaurante de carne,#708 de 10.409 restaurantes en Madrid,€€ - €€€
4,Cerveceria Gonmar,"Paseo Munoz Grandes 47, 28025 Madrid España",Bar,#3.895 de 10.409 restaurantes en Madrid,€
5,Cerveceria Santa Barbara,"Plaza de Santa Bárbara, 28004 Madrid España",Bar,#9.649 de 10.409 restaurantes en Madrid,€€ - €€€
6,El Cucurucho del Mar,"Calle Postigo de San Martín, 6 LOCAL, 28013 Madrid España",Marisco,#608 de 10.409 restaurantes en Madrid,€€ - €€€
7,El Madrono,"Calle Latoneros 10, 28005 Madrid España",Mediterránea,#2.606 de 10.409 restaurantes en Madrid,€€ - €€€
8,Ikigai,"Calle Flor Baja 5, 28013 Madrid España",Japonesa,#967 de 10.409 restaurantes en Madrid,€€ - €€€
9,Soy Kitchen,"Calle de Zurbano, 59, 28010 Madrid España",Asiática,#396 de 10.409 restaurantes en Madrid,€€€€
10,Restaurante Yunie,"Calle De Meléndez Valdés, 64, 28015 Madrid España",Libanesa,#1.319 de 10.409 restaurantes en Madrid,€
11,Maestro Churrero,"Plaza Jacinto Benavente 2 Carrera de San Jerónimo 9, 28012 Madrid España",Postres,N.º 91 de 477 cafeterías y teterías en Madrid,€
12,Restaurante Miki,"Calle Duque de Sevilla 4, 28002 Madrid España",Japonesa,#697 de 10.409 restaurantes en Madrid,€€ - €€€
13,Taberna Real,"Plaza Isabel II 8, 28013 Madrid España",Bar,#8.886 de 10.409 restaurantes en Madrid,€€ - €€€
14,Casa Luciano,"Calle Atocha 120, 28012 Madrid España",Bar,#10.231 de 10.409 restaurantes en Madrid,€€ - €€€
15,B13,"Calle Ballesta 13 Madrid Spain 28004, 28004 Madrid España",Comida rápida,#269 de 10.409 restaurantes en Madrid,€
16,KiraKira,"Calle Caracas 8, 28010 Madrid España",Japonesa,#236 de 10.409 restaurantes en Madrid,€€€€
17,Valdivieso Cocina Con Alma,"Calle Fray Luis de Leon, 7, 28012 Madrid España",Mediterránea,#143 de 10.409 restaurantes en Madrid,€€ - €€€
18,Sylkar,"Calle Espronceda 17, 28003 Madrid España",Bar,#2.013 de 10.409 restaurantes en Madrid,€€ - €€€
19,Babel,"Calle Libertad 23 28004, 28004 Madrid España",Internacional,#671 de 10.409 restaurantes en Madrid,€€ - €€€
20,Taberna El Buo Chueca,"Calle Gravina, 4 Chueca, 28004 Madrid España",Bar,#1.073 de 10.409 restaurantes en Madrid,€€ - €€€
21,PAZO CORUÑA,"Calle Pio Baroja 6, 28009 Madrid España",Mediterránea,#1.016 de 10.409 restaurantes en Madrid,€€ - €€€
22,Tuk Tuk Asian Street Food Cisneros,"Calle Cardenal Cisneros 6, 28010 Madrid España",Asiática,#769 de 10.409 restaurantes en Madrid,€€ - €€€
