,name,address,type,ranking,price
0,Massa Pizza,"Calle Augusto Figueroa, 21, 28004 Madrid España",Italiana,#313 de 10.409 restaurantes en Madrid,€€ - €€€
1,Centro Gallego de Madrid,"C/ Carretas, 14, 3o, 28012 Madrid España",Española,#9.480 de 10.409 restaurantes en Madrid,€€ - €€€
2,Taberna Cosme,"Calle Duque de Sesto 25, 28009 Madrid España",Mediterránea,#559 de 10.409 restaurantes en Madrid,€€ - €€€
3,Motteau,"Calle San Pedro 9, 28014 Madrid España",Postres,N.º 2 de 477 cafeterías y teterías en Madrid,€€ - €€€
4,Taberna La Carmencita,"Calle Libertad 16, 28004 Madrid España",Mediterránea,#1.076 de 10.409 restaurantes en Madrid,€€ - €€€
5,Meson Gregorio III,"Calle Bordadores 5, 28013 Madrid España",Española,#2.172 de 10.409 restaurantes en Madrid,€€ - €€€
6,Alma Cheli,"Calle Santa Engracia 103, 28010 Madrid España",Española,#353 de 10.409 restaurantes en Madrid,€€ - €€€
7,Manzoni Trattoria,"Calle Rosario Pino, 6, 28020 Madrid España",Italiana,#978 de 10.409 restaurantes en Madrid,€€ - €€€
8,Santa Eulalia Boulangerie,"Calle Espejo 12, 28013 Madrid España",Confiterías/panaderías,N.º 23 de 477 cafeterías y teterías en Madrid,€€ - €€€
9,Palacio de Anglona,"Calle Segovia 13, 28005 Madrid España",Mediterránea,#434 de 10.409 restaurantes en Madrid,€€ - €€€
10,Cafeteria HD,"Calle Guzman El Bueno 67, 28015 Madrid España",Bar,#770 de 10.409 restaurantes en Madrid,€€ - €€€
11,Pizzeria Fratelli,"Calle Quero, 83-85 Bajo, 28024 Madrid España",Italiana,#87 de 10.409 restaurantes en Madrid,€€ - €€€
12,Antigua Pastelería del Pozo,"Calle Pozo, 8, 28012 Madrid España",Confiterías/panaderías,N.º 16 de 152 panaderías en Madrid,€
13,RECREO Espartinas,"Calle Espartinas 5, 28001 Madrid España",Mediterránea,#146 de 10.409 restaurantes en Madrid,€€ - €€€
14,Menomale,"Calle San Bernardo 85 Madrid, 28015 Madrid España",Italiana,#610 de 10.409 restaurantes en Madrid,€€ - €€€
15,La Daniela Goya,"Calle General Pardiñas, 21 BAJO, 28001 Madrid España",Mediterránea,#1.852 de 10.409 restaurantes en Madrid,€€ - €€€
16,Moulin Chocolat,"Calle Alcala 77, 28009 Madrid España",Postres,N.º 32 de 319 postres en Madrid,€€ - €€€
17,Zoko Retiro,"Avenida Menendez Pelayo 27, 28009 Madrid España",Mediterránea,#1.140 de 10.409 restaurantes en Madrid,€€ - €€€
18,Pointer,"Calle del Marques de La Ensenada 16, 28004 Madrid España",Mediterránea,#3.263 de 10.409 restaurantes en Madrid,€€ - €€€
19,Larumbe,"Calle Serrano, 61 (acceso peatonal) Paseo de la Castellana 34, 28001 Madrid España",Mediterránea,#651 de 10.409 restaurantes en Madrid,€€€€
20,Oyamel,"Calle de Goya 82 Esquina Con Fernan Gonzalez, 28009 Madrid España",Mexicana,#443 de 10.409 restaurantes en Madrid,€€ - €€€
21,Cerveceria Alemana,"Plaza Santa Ana 6, 28012 Madrid España",Bar,#1.323 de 10.409 restaurantes en Madrid,€€ - €€€
22,Gelateria La Romana,"Paseo Habana 27, 28036 Madrid España",Postres,N.º 14 de 319 postres en Madrid,€
23,O`pulpo,"Calle de los Canizares, 8, 28012 Madrid España",Marisco,#325 de 10.409 restaurantes en Madrid,€€ - €€€
24,"La Tagliatella Avd/América, Madrid","Avenida de América, 31, 28002 Madrid España",Italiana,#3.186 de 10.409 restaurantes en Madrid,€€ - €€€
25,Saporem Ventura,"Calle Ventura de La Vega 5, 28014 Madrid España",Mediterránea,#2.242 de 10.409 restaurantes en Madrid,€€ - €€€
26,El Camoati,"Calle Alfonso VI 3 a 20m de la Plaza de la Paja, 28005 Madrid España",Mediterránea,#186 de 10.409 restaurantes en Madrid,€€ - €€€
27,Juancho's BBQ (Chamberí),"Calle de Alonso Cano 10 Puesto 7, 28010 Madrid España",Tentempiés,N.º 21 de 125 bares de comida rápida en Madrid,€€ - €€€
28,La Daniela Medinaceli,"Plaza De Jesús, 7 BAJO, 28014 Madrid España",Mediterránea,#2.559 de 10.409 restaurantes en Madrid,€€ - €€€
29,La Lonja Restaurante,"Plaza de Oriente, 6, 28013 Madrid España",Marisco,#722 de 10.409 restaurantes en Madrid,€€ - €€€
30,Restaurante Botania,"Plaza España Número 5 Hotel VP Plaza España, 28008 Madrid España",Internacional,#2.769 de 10.409 restaurantes en Madrid,€€ - €€€
31,Cachivache,"Calle Serrano 221, 28016 Madrid España",Mediterránea,#531 de 10.409 restaurantes en Madrid,€€ - €€€
32,Sahuaro,"Plaza Cascorro 2, 28005 Madrid España",Mexicana,#450 de 10.409 restaurantes en Madrid,€€ - €€€
33,El Soportal,"Plaza Mayor 33, 28012 Madrid España",Española,#9.582 de 10.409 restaurantes en Madrid,€€ - €€€
34,Casa Adriano,"Calle Pamplona 19, 28039 Madrid España",Marisco,#624 de 10.409 restaurantes en Madrid,€€ - €€€
35,El Escarpin,"Calle Hileras 17, 28013 Madrid España",Mediterránea,#2.621 de 10.409 restaurantes en Madrid,€€ - €€€
36,Arroceria La Bahia,"Calle Dulcinea 65, 28020 Madrid España",Mediterránea,#1.170 de 10.409 restaurantes en Madrid,€€ - €€€
37,Bar Postas,"Calle Postas 13, 28012 Madrid España",Bar,#1.369 de 10.409 restaurantes en Madrid,€
38,Mistura Ice Cream,"Calle Augusto Figueroa, 5, 28004 Madrid España",Postres,N.º 29 de 477 cafeterías y teterías en Madrid,€€ - €€€
39,Cerveceria La Tierruca En Madrid,"Calle de Jose Ortega y Gasset 53, 28006 Madrid España",Mediterránea,#3.543 de 10.409 restaurantes en Madrid,€€ - €€€
40,Aynaelda,"Yebenes, 38, 28047 Madrid España",Mediterránea,#1.424 de 10.409 restaurantes en Madrid,€€ - €€€
41,Paru Inkas Sushi & Grill Madrid,"Calle Atocha 49, 28012 Madrid España",Japonesa,#2.094 de 10.409 restaurantes en Madrid,€€ - €€€
42,El Gordo de Velázquez,"Calle de Velázquez, 80 Calle Velazquez 80 esquina Ortega y Gasset, 28001 Madrid España",Mediterránea,#1.642 de 10.409 restaurantes en Madrid,€€ - €€€
43,El Rincón Asturiano II,"Calle Delicias, 26 BAJO, 28045 Madrid España",Restaurante de carne,#2.269 de 10.409 restaurantes en Madrid,€€ - €€€
44,La Taberna De El Pimiento Verde,"Calle Conde de Miranda, 4, 28005 Madrid España",Mediterránea,#430 de 10.409 restaurantes en Madrid,€€ - €€€
45,Restaurante Viavelez,"Avenida General Peron 10, 28020 Madrid España",Mediterránea,#1.380 de 10.409 restaurantes en Madrid,€€€€
46,Sanlucar,"Calle San Isidro Labrador 14, 28005 Madrid España",Bar,#767 de 10.409 restaurantes en Madrid,€€ - €€€
47,Marian Madrid,"Plaza Tirso de Molina 7, 28012 Madrid España",Española,#10.375 de 10.409 restaurantes en Madrid,Europea
