,name,address,type,ranking,price
0,Taberna del Quinto Vino,"Calle Hernani 48, 28020 Madrid España",Mediterránea,#2.375 de 10.409 restaurantes en Madrid,€€ - €€€
1,Dogma,"Avenida de Alberto Alcocer 43, 28016 Madrid España",Restaurante de carne,#187 de 10.409 restaurantes en Madrid,€€€€
2,La Nicoletta Castellana,"Paseo de la Castellana 4, 28001 Madrid España",Italiana,#4.004 de 10.409 restaurantes en Madrid,€€ - €€€
3,Bodegas Casas,"Avenida Ciudad de Barcelona 23 Menendez Pelayo, 28007 Madrid España",Bar,#2.078 de 10.409 restaurantes en Madrid,€
4,Bico de Xeado,"Calle de Luchana 3 Al lado de la Glorieta de Bilbao, 28010 Madrid España",Postres,N.º 64 de 319 postres en Madrid,€
5,Taberna O Curruncho,"Calle de Fomento 10, 28013 Madrid España",Española,#1.062 de 10.409 restaurantes en Madrid,€€ - €€€
6,Diaz y Larrouy,"Calle Cava Baja 6, 28005 Madrid España",Mediterránea,#795 de 10.409 restaurantes en Madrid,€€ - €€€
7,QUIMBAYA by Edwin Rodríguez,"Calle Zurbano, 63, 28010 Madrid España",Latina,#892 de 10.409 restaurantes en Madrid,€€€€
8,Fratelli d'italia Lavapiés,"Plaza Lavapiés 1, 28012 Madrid España",Italiana,#936 de 10.409 restaurantes en Madrid,€
9,Tequeños Que Molan,"Calle de las infantas, 30, 28004 Madrid España",Latina,#2.796 de 10.409 restaurantes en Madrid,€
10,La Cruzada,"Calle Amnistía, 8 Metro Ópera, 28013 Madrid España",Mediterránea,#732 de 10.409 restaurantes en Madrid,€€ - €€€
11,Makkila Fernando VI,"Calle de Fernando VI 2, 28004 Madrid España",Mediterránea,#1.496 de 10.409 restaurantes en Madrid,€€ - €€€
12,Mikado,"Calle del Pintor Juan Gris, 4, 28020 Madrid España",Japonesa,#976 de 10.409 restaurantes en Madrid,€€ - €€€
13,La Penela Restaurante Gallego. Velázquez,"Calle Velázquez 96, 28006 Madrid España",Española,#2.339 de 10.409 restaurantes en Madrid,€€ - €€€
14,La Mafia se sienta a la mesa,"Calle Goya, 5 Plaza Colon, 28001 Madrid España",Italiana,#773 de 10.409 restaurantes en Madrid,€€ - €€€
15,La Copita Asturiana,"Calle Tabernillas 13, 28005 Madrid España",Española,#955 de 10.409 restaurantes en Madrid,€€ - €€€
16,Plaza Mayor,"Calle Gerona 4 Proche Plaza Mayor, 28012 Madrid España",Española,#721 de 10.409 restaurantes en Madrid,€€ - €€€
17,Restaurante Konnichiwa,"Calle Fuencarral 98, 28004 Madrid España",Japonesa,#716 de 10.409 restaurantes en Madrid,€€ - €€€
18,Green Tea Sushi & Cocktail - Hotel the Westin Palace,"Plaza Cortes 7, 28014 Madrid España",Japonesa,#900 de 10.409 restaurantes en Madrid,€€€€
19,Il Cratere del Gusto,"Calle del Marques de Urquijo, 27, 28008 Madrid España",Italiana,#992 de 10.409 restaurantes en Madrid,€€ - €€€
20,Viandas de Salamanca,"Calle Montera, 3 Junto a Puerta del Sol, 28013 Madrid España",Comida rápida,#455 de 10.409 restaurantes en Madrid,€€ - €€€
21,Sensaciones,"Calle de la Salud 3 Restaurante by Hotel Liabeny, 28013 Madrid España",Europea,#995 de 10.409 restaurantes en Madrid,€€ - €€€
22,Regañadientes,"Calle del Almte., 14 Es el número 24, no el 14, 28004 Madrid España",Mexicana,#1.552 de 10.409 restaurantes en Madrid,€€ - €€€
23,Llantén Veggie Bar,"Calle Cardenal Cisneros 40, 28010 Madrid España",Internacional,#1.384 de 10.409 restaurantes en Madrid,€€ - €€€
24,"Panem Panaderia Artesana,s.l.","Calle Fernan Gonzalez 46, 28009 Madrid España",Confiterías/panaderías,N.º 20 de 152 panaderías en Madrid,€€ - €€€
25,Ganz Wine Bar,"Calle Almaden 9, 28014 Madrid España",Mediterránea,#368 de 10.409 restaurantes en Madrid,€€ - €€€
26,Cafelito,"Calle Sombrerete 20, 28012 Madrid España",Postres,N.º 14 de 477 cafeterías y teterías en Madrid,€
27,Panela & Co,"Calle Lopez de Hoyos 10, 28006 Madrid España",Café,#2.033 de 10.409 restaurantes en Madrid,€€ - €€€
28,Sua By Triciclo In Madrid,"Calle de Moratin 22, 28014 Madrid España",Restaurante de carne,#5.706 de 10.409 restaurantes en Madrid,€€€€
29,La Máquina Original,"C/ Sor Ángela de la Cruz, 22, 28020 Madrid España",Marisco,#705 de 10.409 restaurantes en Madrid,€€€€
