,name,address,type,ranking,price
0,Kebab House,"Calle Melendez Valdes 67, 28015 Madrid España",Comida rápida,#2.319 de 10.409 restaurantes en Madrid,€
1,Fismuler,"Calle Sagasta 29 Esquina con Covarrubias, 28004 Madrid España",Alemana,#735 de 10.409 restaurantes en Madrid,€€ - €€€
2,Kappo,"Breton De Los Herreros, 54, 28003 Madrid España",Japonesa,#784 de 10.409 restaurantes en Madrid,€€€€
3,Tatema Madrid,"Calle Argumosa 11, 28012 Madrid España",Saludable,#2.279 de 10.409 restaurantes en Madrid,€€ - €€€
4,Camino,"Calle Gutiérrez Solana, 6, 28036 Madrid España",Europea,#1.137 de 10.409 restaurantes en Madrid,€€ - €€€
5,la negra tomasa,"Calle Cadiz, 9, 28012 Madrid España",Caribeña,#911 de 10.409 restaurantes en Madrid,€€ - €€€
6,Restaurante Ana la Santa,"Plaza Santa Ana 14, 28012 Madrid España",Mediterránea,#1.401 de 10.409 restaurantes en Madrid,€€ - €€€
7,El Arco Pinoy,"Calle de Las Huertas, 7, 28012 Madrid España",Filipina,#362 de 10.409 restaurantes en Madrid,€€ - €€€
8,Casa Pepe,"Calle Celanova 19, 28029 Madrid España",Bar,#2.224 de 10.409 restaurantes en Madrid,€
9,Luzi Bombon,"Paseo Castellana 35, 28046 Madrid España",Mediterránea,#1.178 de 10.409 restaurantes en Madrid,€€€€
10,Restaurante Terraza Puertalsol,"Plaza de la Puerta del Sol, 10 5ª planta edificio deportes El Corte Inglés, 28013 Madrid España",Española,#9.097 de 10.409 restaurantes en Madrid,€€ - €€€
11,Restaurante El Senador,"Plaza Marina Espanola 2, 28013 Madrid España",Mediterránea,#772 de 10.409 restaurantes en Madrid,€€ - €€€
12,Quinqué Madrid Restaurante,"Calle Apolonio Morales 3, 28036 Madrid España",Mediterránea,#749 de 10.409 restaurantes en Madrid,€€ - €€€
13,Soi Noodle Madrid,"Calle Modesto Lafuente 88, 28003 Madrid España",Japonesa,#3.829 de 10.409 restaurantes en Madrid,€€ - €€€
14,Restaurante Noi,"Calle Recoletos 6, 28001 Madrid España",Italiana,#147 de 10.409 restaurantes en Madrid,€€ - €€€
15,La Rollerie- Calle Mayor,"Calle Mayor, 24 Estacion Vodafone SOL, 28013 Madrid España",Americana,#369 de 10.409 restaurantes en Madrid,€€ - €€€
16,Pizzeria El Trebol,"Calle de la Cruz 3, 28012 Next to Plaza Canalejas, Puerta del Sol, 28012 Madrid España",Pizza,#282 de 10.409 restaurantes en Madrid,€€ - €€€
17,"La Tagliatella C/Juan Bravo, Madrid","Calle de Juan Bravo 35, 28006 Madrid España",Italiana,#2.872 de 10.409 restaurantes en Madrid,€€ - €€€
18,Rioja Nos Madrid,"Calle de toledo 122, 28005 Madrid España",Mediterránea,#1.342 de 10.409 restaurantes en Madrid,€€ - €€€
19,Sciantusi Madrid,"Calle Navas de Tolosa 9, 28013 Madrid España",Italiana,#345 de 10.409 restaurantes en Madrid,€€ - €€€
20,Maruzzella,"Raimundo Fernandez Villaverde, 28, 28003 Madrid España",Italiana,#83 de 10.409 restaurantes en Madrid,€€ - €€€
21,Cafeeke Cervezas & Tapas de Bélgica,"Calle Cuchilleros 3, 28005 Madrid España",Belga,#2.842 de 10.409 restaurantes en Madrid,€€ - €€€
22,El Oso y El Madrono,"Calle Bolsa 4, 28013 Madrid España",Española,#1.813 de 10.409 restaurantes en Madrid,€
23,Me gustas MXO,"Calle de la Villa 3, 28005 Madrid España",Mexicana,#158 de 10.409 restaurantes en Madrid,€€ - €€€
24,El Pimiento Verde,"Calle Castello, 18 Nº 18, 28001 Madrid España",Mediterránea,#571 de 10.409 restaurantes en Madrid,€€ - €€€
